*******************************************************************************
 Revised: April 12, 2021               Jupiter                              599
 
 PHYSICAL DATA (revised 2025-Jan-30):
  Mass x 10^26 (kg)     = 18.9819           Density (g/cm^3)  = 1.3262 +- .0003
  Equat. radius (1 bar) = 71492+-4 km       Polar radius (km)     = 66854+-10
  Vol. Mean Radius (km) = 69911+-6          Flattening            = 0.06487
  Geometric Albedo      = 0.52              Rocky core mass (Mc/M)= 0.0261
  Sid. rot. period (III)= 9h 55m 29.711 s   Sid. rot. rate (rad/s)= 0.00017585
  Mean solar day, hrs   = ~9.9259         
  GM (km^3/s^2)         = 126686531.900     GM 1-sigma (km^3/s^2) =  +- 1.2732
  Equ. grav, ge (m/s^2) = 24.79             Pol. grav, gp (m/s^2) =  28.34
  Vis. magnitude V(1,0) = -9.40
  Vis. mag. (opposition)= -2.70             Obliquity to orbit    =  3.13 deg
  Sidereal orbit period = 11.861982204 y    Sidereal orbit period = 4332.589 d
  Mean daily motion     = 0.0831294 deg/d   Mean orbit speed, km/s= 13.0697
  Atmos. temp. (1 bar)  = 165+-5 K          Escape speed, km/s    =  59.5           
  A_roche(ice)/Rp       =  2.76             Hill's sphere rad. Rp = 740
                                 Perihelion   Aphelion     Mean
  Solar Constant (W/m^2)         56           46           51
  Maximum Planetary IR (W/m^2)   13.7         13.4         13.6
  Minimum Planetary IR (W/m^2)   13.7         13.4         13.6
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Thu Nov 13 09:14:32 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup365_merged}
Center body name: Sun (10)                        {source: jup365_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Dec-30 00:00:00.0000 TDB
Stop  time      : A.D. 2004-Jul-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2451908.500000000, A.D. 2000-Dec-30 00:00:00.0000,  1.811058195665645E+00,  4.708814029418979E+00, -6.009458390332487E-02, -7.145570816636365E-03,  3.069006888989171E-03,  1.472431326286277E-04,
2451909.500000000, A.D. 2000-Dec-31 00:00:00.0000,  1.803910349944311E+00,  4.711877157258308E+00, -5.994729017026672E-02, -7.149507030314390E-03,  3.057494495201287E-03,  1.473614151861705E-04,
2451910.500000000, A.D. 2001-Jan-01 00:00:00.0000,  1.796758530427861E+00,  4.714929839192510E+00, -5.979984222332550E-02, -7.154688901729404E-03,  3.047290898495195E-03,  1.475061952568951E-04,
2451911.500000000, A.D. 2001-Jan-02 00:00:00.0000,  1.789601939808651E+00,  4.717970909419315E+00, -5.965229193335371E-02, -7.158055544670649E-03,  3.035443953372704E-03,  1.476217036390437E-04,
2451912.500000000, A.D. 2001-Jan-03 00:00:00.0000,  1.782441671252867E+00,  4.721001085744019E+00, -5.950459843516388E-02, -7.162428681910092E-03,  3.024340133509528E-03,  1.477452966272485E-04,
2451913.500000000, A.D. 2001-Jan-04 00:00:00.0000,  1.775278032054690E+00,  4.724020054960244E+00, -5.935677181055227E-02, -7.165229508284710E-03,  3.014330383102576E-03,  1.479282080080416E-04,
2451914.500000000, A.D. 2001-Jan-05 00:00:00.0000,  1.768110116948810E+00,  4.727029135028975E+00, -5.920877831667646E-02, -7.170151811295834E-03,  3.003259564982204E-03,  1.480463020832121E-04,
2451915.500000000, A.D. 2001-Jan-06 00:00:00.0000,  1.760938304518946E+00,  4.730027320816506E+00, -5.906064359331088E-02, -7.174095801637123E-03,  2.993353158394919E-03,  1.482221096765288E-04,
2451916.500000000, A.D. 2001-Jan-07 00:00:00.0000,  1.753761770822870E+00,  4.733014858346146E+00, -5.891237228867618E-02, -7.178316190258495E-03,  2.981777403176511E-03,  1.483314848755376E-04,
2451917.500000000, A.D. 2001-Jan-08 00:00:00.0000,  1.746581276986243E+00,  4.735991804287798E+00, -5.876395431920407E-02, -7.183349308440359E-03,  2.971693138258408E-03,  1.484798624562467E-04,
2451918.500000000, A.D. 2001-Jan-09 00:00:00.0000,  1.739395816178080E+00,  4.738957175909944E+00, -5.861543834830734E-02, -7.186978140575669E-03,  2.959510150206975E-03,  1.485771211857633E-04,
